param_name,S1,S1_conf,ST,ST_conf
T_oa,0.7616594477122608,0.16124583707244083,0.9176401507241908,0.1291055165505082
RH_oa,0.020700167653372795,0.06478131027297131,0.17341311054160757,0.05304316855487805
P_atm,0.004091097714789993,0.00704136606812092,0.0012717726848685978,0.0004951536281564916
UPS_e,-0.00039557263583592966,0.00566986757359593,0.001139419065838348,0.0004170057788451137
PD_lr,0.0006529797576122906,0.0012203607102608334,4.5077022624749177e-05,1.4736948174611516e-05
L_percentage,3.644140231958823e-05,0.00010957455190839646,4.3484508010082e-07,1.3962081324238868e-07
delta_T_air,-0.00688954117211548,0.010279492841892742,0.0035154784433343933,0.0014168406214305747
Fan_Pressure_CRAC,0.0,0.0,0.0,0.0
Fan_e_CRAC,0.0,0.0,0.0,0.0
Pump_Pressure_HD,0.0,0.0,0.0,0.0
Pump_e_HD,0.0,0.0,0.0,0.0
AT_CT,-0.0001736392185150311,0.0008369587632722667,2.8127552891232048e-05,1.1906582093860283e-05
Chiller_load,-0.0007884972071150499,0.0027013715948231397,0.00026313871103818954,0.00010761140814602911
delta_T_water,0.0,0.0,0.0,0.0
Pump_Pressure_CW,0.0,0.0,0.0,0.0
Pump_e_CW,0.0,0.0,0.0,0.0
delta_T_CT,-0.0004511022717439036,0.005055102048065728,0.0007245775678446345,0.0003301570256648442
Pump_Pressure_CT,0.0,0.0,0.0,0.0
Pump_e_CT,0.0,0.0,0.0,0.0
Windage_p,0.008133018241654723,0.019430441130435894,0.012332058450693288,0.004395807595431299
CC,0.002167825771450113,0.01333440739832578,0.003118156039546406,0.0020654416301266105
Fan_Pressure_CT,0.0,0.0,0.0,0.0
Fan_e_CT,0.0,0.0,0.0,0.0
SHR,0.0015718984107732717,0.0039966708698946675,0.0004836657139282434,0.00017938669891339905
LGRatio,0.0,0.0,0.0,0.0
T_up,0.018774174164625415,0.029867792224302532,0.046995138922489924,0.03881379432350554
T_lw,0.01656824354605676,0.03731225578274396,0.03710364238215627,0.024735184728407605
dp_up,0.0,0.0,0.0,0.0
dp_lw,0.016344700861749623,0.05123233738032201,0.0889236352698457,0.0403629447859307
RH_up,0.0,0.0,0.0,0.0
RH_lw,0.0,0.0,0.0,0.0
pcop,-0.00045937013866898316,0.0016938373306109424,0.00010934301991532469,3.674208837191015e-05
