county_fips,county_name,state_abbr,system,PUE,WUE,mean_drought,pct_weeks_d2_plus,water_stress,electric_cents_per_kwh,water_dollars_per_kgal,effective_electric,effective_water,effective_total_cost
01001,Autauga County,AL,AE,1.2431139237124866,1.793199,0.3973,1.6949,1.8235919298510002,7.25,3.9246,9.012575946915527,0.186,9.198575946915527
01001,Autauga County,AL,WEC,1.1562480321693027,2.090095,0.3973,1.6949,2.125520020155,7.25,3.9246,8.382798233227446,0.217,8.599798233227446
01003,Baldwin County,AL,AE,1.2581495506718188,1.960695,0.5134,1.8832,1.99761880824,7.25,3.9246,9.121584242370686,0.203,9.324584242370685
01003,Baldwin County,AL,WEC,1.1692251143405998,2.092758,0.5134,1.8832,2.132168818656,7.25,3.9246,8.476882078969348,0.217,8.693882078969349
01005,Barbour County,AL,AE,1.246694780691764,1.839067,0.4717,2.6365,1.8875540014549999,7.25,3.9246,9.03853716001529,0.191,9.22953716001529
01005,Barbour County,AL,WEC,1.1566393997440136,2.090599,0.4717,2.6365,2.145717642635,7.25,3.9246,8.385635648144099,0.217,8.6026356481441
01007,Bibb County,AL,AE,1.240856258518894,1.769892,0.4622,4.7081,1.8532202852519999,7.25,3.9246,8.996207874261982,0.183,9.179207874261982
01007,Bibb County,AL,WEC,1.1542108851067294,2.089482,0.4622,4.7081,2.187856902042,7.25,3.9246,8.36802891702379,0.217,8.58502891702379
01009,Blount County,AL,AE,1.2313207913295272,1.661749,0.4774,7.533,1.78692855217,7.25,3.9246,8.927075737139072,0.172,9.099075737139072
01009,Blount County,AL,WEC,1.1480197528878486,2.08783,0.4774,7.533,2.2451062339,7.25,3.9246,8.323143208436903,0.216,8.539143208436903
01011,Bullock County,AL,AE,1.244601263876755,1.813066,0.3929,2.6365,1.86086748509,7.25,3.9246,9.023359163106473,0.188,9.211359163106474
01011,Bullock County,AL,WEC,1.1559144650322062,2.090303,0.3929,2.6365,2.145413838595,7.25,3.9246,8.380379871483495,0.217,8.597379871483495
01013,Butler County,AL,AE,1.2478117542050928,1.847267,0.4378,2.6365,1.895970194455,7.25,3.9246,9.046635217986923,0.192,9.238635217986923
01013,Butler County,AL,WEC,1.1587911415194736,2.090964,0.4378,2.6365,2.14609226586,7.25,3.9246,8.401235776016184,0.217,8.618235776016185
01015,Calhoun County,AL,AE,1.2323875443566765,1.674746,0.5136,5.838,1.7725176714800002,7.25,3.9246,8.934809696585905,0.174,9.108809696585904
01015,Calhoun County,AL,WEC,1.148554122109762,2.087969,0.5136,5.838,2.2098646302200002,7.25,3.9246,8.327017385295774,0.216,8.543017385295773
01017,Chambers County,AL,AE,1.236637228266504,1.72528,0.4393,4.1431,1.79676007568,7.25,3.9246,8.965619904932153,0.179,9.144619904932153
01017,Chambers County,AL,WEC,1.1497181198124113,2.088803,0.4393,4.1431,2.175344197093,7.25,3.9246,8.335456368639981,0.217,8.552456368639982
