time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,13.42,24.2,911.72,1.2290516534141824,1.244234990564582,3B
2025-01-01 01:00:00,11.56,27.6,911.4799999999999,1.2290676492675494,1.2441967995041365,3B
2025-01-01 02:00:00,10.52,32.0,911.68,1.2290543188048946,1.2441568213442984,3B
2025-01-01 03:00:00,9.680000000000001,36.4,912.1600000000001,1.229022349544851,1.2441068322514586,3B
2025-01-01 04:00:00,8.74,41.4,912.46,1.2290023858375403,1.2440641201065301,3B
2025-01-01 05:00:00,7.82,46.4,912.5,1.228999725001703,1.2440364156493826,3B
2025-01-01 06:00:00,6.880000000000001,50.4,912.5,1.228999725001703,1.2440103784066914,3B
2025-01-01 07:00:00,6.0,53.0,912.5200000000001,1.2289983946712622,1.2439848942529468,3B
2025-01-01 08:00:00,5.2,55.6,912.24,1.2290170246056908,1.2439782570843307,3B
2025-01-01 09:00:00,4.48,58.2,912.46,1.2290023858375403,1.2439461163658225,3B
2025-01-01 10:00:00,4.0,60.0,912.8,1.2289797761662409,1.2439139950955496,3B
2025-01-01 11:00:00,3.5,62.0,913.22,1.228951869815851,1.2438769212671776,3B
2025-01-01 12:00:00,3.02,64.6,913.6200000000001,1.2289253161933325,1.2438415391581243,3B
2025-01-01 13:00:00,1.84,65.8,914.72,1.2288524134770034,1.2437482663922466,3B
2025-01-01 14:00:00,1.4,68.8,915.4399999999999,1.2288047902045596,1.2436965131428281,3B
2025-01-01 15:00:00,2.38,64.0,916.6200000000001,1.2287269027355485,1.2436587787467448,3B
2025-01-01 16:00:00,4.659999999999999,55.6,917.8799999999999,1.2286439558455562,1.2436525615223604,3B
2025-01-01 17:00:00,7.44,47.4,918.76,1.228586159619079,1.243680901400114,3B
2025-01-01 18:00:00,10.1,39.8,918.5799999999999,1.2285979725656238,1.2437639477170617,3B
2025-01-01 19:00:00,12.1,33.8,917.72,1.228654476158949,1.2438662338353073,3B
2025-01-01 20:00:00,13.42,30.4,916.7,1.228721629487207,1.2439587901182267,3B
2025-01-01 21:00:00,14.2,28.0,915.9799999999999,1.2288112371903788,1.2440200602843636,3B
2025-01-01 22:00:00,14.42,27.4,915.6,1.2288826962795718,1.2440471451289163,3B
2025-01-01 23:00:00,14.06,28.2,915.3799999999999,1.2288213988231482,1.2440493788671954,3B
2025-01-02 00:00:00,12.28,32.6,915.1,1.2288272696335256,1.2440157140878754,3B
2025-01-02 01:00:00,10.7,36.4,914.78,1.228848442007677,1.243989766804947,3B
2025-01-02 02:00:00,9.48,40.8,914.9399999999999,1.2288378539693434,1.2439472158119447,3B
2025-01-02 03:00:00,8.7,43.8,915.04,1.228831238325692,1.243920145607504,3B
2025-01-02 04:00:00,8.0,45.6,915.0,1.2288338844096276,1.2439030179835866,3B
2025-01-02 05:00:00,7.38,46.2,914.64,1.2288577095799664,1.2439057652671361,3B
2025-01-02 06:00:00,6.76,47.8,914.3799999999999,1.2288749283147726,1.2439029901530816,3B
2025-01-02 07:00:00,6.36,50.0,914.0,1.2289001117795482,1.243912928422029,3B
2025-01-02 08:00:00,5.92,52.2,913.5600000000001,1.2289292977543393,1.243925086931046,3B
2025-01-02 09:00:00,5.52,56.0,913.28,1.2289478852896478,1.243929509199343,3B
2025-01-02 10:00:00,5.08,58.2,913.2,1.2289531981076056,1.2439217580950632,3B
2025-01-02 11:00:00,4.7,58.8,912.86,1.2289757879725727,1.243930056268852,3B
2025-01-02 12:00:00,4.3,60.0,912.76,1.2289824352533114,1.2439245164735042,3B
2025-01-02 13:00:00,2.36,57.2,912.9200000000001,1.2289718003031382,1.2438619485199331,3B
2025-01-02 14:00:00,1.86,58.0,913.18,1.2289545264575432,1.2438337397599026,3B
2025-01-02 15:00:00,3.44,51.4,914.3399999999999,1.22887757822006,1.243813423568441,3B
2025-01-02 16:00:00,6.58,41.8,916.0600000000001,1.2287638412628097,1.2438053913922373,3B
2025-01-02 17:00:00,10.12,33.2,917.22,1.2286873757947272,1.2438391858872382,3B
2025-01-02 18:00:00,13.48,25.0,917.4799999999999,1.2286702635089575,1.243917454329174,3B
2025-01-02 19:00:00,16.26,18.8,917.28,1.2292639054495769,1.2440050729576835,3B
