time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,-4.42,68.4,968.32,1.2255825303965941,1.24079752155772,6A
2025-01-01 01:00:00,-4.9,74.4,968.68,1.225494927386832,1.240767379650131,6A
2025-01-01 02:00:00,-5.3,72.6,968.82,1.2255623520802499,1.2407500982000332,6A
2025-01-01 03:00:00,-5.6,71.4,968.9,1.2256095918992636,1.240738361984038,6A
2025-01-01 04:00:00,-5.86,70.0,969.0,1.2256537860515055,1.2407266941132755,6A
2025-01-01 05:00:00,-6.159999999999999,69.4,969.22,1.2256792225081756,1.2407081265435587,6A
2025-01-01 06:00:00,-6.459999999999999,68.6,969.28,1.2257164545965755,1.2406973746864354,6A
2025-01-01 07:00:00,-6.640000000000001,66.0,969.2,1.2257804346135917,1.2406965851225378,6A
2025-01-01 08:00:00,-7.040000000000001,66.0,969.4200000000001,1.2258006971402022,1.2406754209342314,6A
2025-01-01 09:00:00,-7.44,67.0,969.64,1.2258043851537228,1.2406542663497402,6A
2025-01-01 10:00:00,-7.739999999999999,65.6,969.9399999999999,1.225832067687293,1.2406318309161164,6A
2025-01-01 11:00:00,-8.26,66.4,970.0,1.2258564484804357,1.240615359168074,6A
2025-01-01 12:00:00,-8.440000000000001,66.2,970.3,1.2258551107576394,1.2405960699888994,6A
2025-01-01 13:00:00,-8.1,71.4,970.4799999999999,1.2257414786978136,1.2405961700717156,6A
2025-01-01 14:00:00,-8.32,70.4,970.86,1.2257516016219974,1.2405719669884785,6A
2025-01-01 15:00:00,-8.1,67.4,971.5,1.2257405530912333,1.2405466104217764,6A
2025-01-01 16:00:00,-7.68,63.8,972.04,1.2257306972616173,1.2405313361371517,6A
2025-01-01 17:00:00,-7.220000000000001,59.8,972.04,1.225758820011935,1.240543297308327,6A
2025-01-01 18:00:00,-6.739999999999999,58.0,971.3799999999999,1.225791768755394,1.2405878230568872,6A
2025-01-01 19:00:00,-6.42,56.6,971.0200000000001,1.2258129693196262,1.2406136498052627,6A
2025-01-01 20:00:00,-6.1,54.8,970.76,1.2258358367152025,1.2406346287548966,6A
2025-01-01 21:00:00,-6.2,55.8,970.96,1.2258140261414843,1.240622294703385,6A
2025-01-01 22:00:00,-6.68,57.6,971.2,1.225804632092649,1.2405981315341517,6A
2025-01-01 23:00:00,-7.58,61.6,971.3799999999999,1.2257961091465046,1.240565966077671,6A
2025-01-02 00:00:00,-8.24,63.8,971.5799999999999,1.2257994900414364,1.2405390857112222,6A
2025-01-02 01:00:00,-8.139999999999999,69.8,972.14,1.225670349288694,1.240514527275102,6A
2025-01-02 02:00:00,-8.48,70.4,972.3799999999999,1.2256745116221357,1.2404940591107032,6A
2025-01-02 03:00:00,-8.98,71.0,972.54,1.2256955942136352,1.2404733155714993,6A
2025-01-02 04:00:00,-9.28,71.2,972.54,1.2257157338588651,1.2404655188181997,6A
2025-01-02 05:00:00,-9.559999999999999,71.6,972.7,1.2257219459790307,1.240450500064315,6A
2025-01-02 06:00:00,-9.879999999999999,72.4,972.68,1.2257363824359253,1.2404431523082105,6A
2025-01-02 07:00:00,-10.02,71.8,972.82,1.225746019435555,1.240432743816613,6A
2025-01-02 08:00:00,-10.1,70.8,973.14,1.2257455522134166,1.2404151977814266,6A
2025-01-02 09:00:00,-10.42,71.6,973.5,1.2257368471288463,1.2403895006636982,6A
2025-01-02 10:00:00,-10.72,72.8,973.78,1.2257266578907744,1.2403682005081929,6A
2025-01-02 11:00:00,-10.84,72.6,973.9399999999999,1.2257279313242604,1.240357369154517,6A
2025-01-02 12:00:00,-10.92,72.4,974.28,1.2257157507614713,1.24033890432355,6A
2025-01-02 13:00:00,-11.06,76.8,974.9,1.2256372329877039,1.2403054188251792,6A
2025-01-02 14:00:00,-11.14,75.8,975.0600000000001,1.225645171431455,1.2402956470953004,6A
