time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,14.44,54.4,1002.42,1.2236396320519856,1.2396604763538615,3C
2025-01-01 01:00:00,11.36,55.0,1002.4,1.2235560704353652,1.2395837372907548,3C
2025-01-01 02:00:00,9.8,57.2,1002.48,1.2235516610504689,1.2395407189168104,3C
2025-01-01 03:00:00,8.7,60.6,1002.82,1.2235329290132793,1.2394973479433782,3C
2025-01-01 04:00:00,7.42,67.6,1003.26,1.2235087064002848,1.2394448804298495,3C
2025-01-01 05:00:00,6.840000000000001,69.8,1003.2,1.223512008232707,1.2394330216900575,3C
2025-01-01 06:00:00,6.6,71.6,1003.42,1.2234999034442986,1.2394168819668139,3C
2025-01-01 07:00:00,6.52,72.2,1003.74,1.2234823059516755,1.2394001947042865,3C
2025-01-01 08:00:00,6.42,71.0,1003.6,1.2234900034738665,1.2394040941175668,3C
2025-01-01 09:00:00,5.84,72.4,1003.34,1.2235043045713456,1.2394014061726086,3C
2025-01-01 10:00:00,5.220000000000001,73.2,1003.2,1.223512008232707,1.2393922059663223,3C
2025-01-01 11:00:00,5.18,73.2,1003.12,1.2235164112903616,1.2393948665784638,3C
2025-01-01 12:00:00,5.14,72.8,1002.92,1.2235274220076646,1.2394030320813374,3C
2025-01-01 13:00:00,5.319999999999999,73.2,1002.8,1.2235340305462015,1.2394130747544272,3C
2025-01-01 14:00:00,5.46,71.0,1002.98,1.2235241183313976,1.2394083438171646,3C
2025-01-01 15:00:00,5.42,70.8,1003.18,1.223513108931284,1.239398162112209,3C
2025-01-01 16:00:00,6.279999999999999,70.6,1003.7,1.2234845050246115,1.239395984445154,3C
2025-01-01 17:00:00,9.22,68.0,1004.26,1.2234537339448468,1.2394443268672193,3C
2025-01-01 18:00:00,12.22,62.2,1005.14,1.2234054486654173,1.2394794477517206,3C
2025-01-01 19:00:00,14.48,53.0,1004.88,1.2235118406233123,1.239548217287799,3C
2025-01-01 20:00:00,15.58,51.0,1004.02,1.2237704536924092,1.239615443563078,3C
2025-01-01 21:00:00,16.08,50.8,1003.32,1.223905275902191,1.2396602881240235,3C
2025-01-01 22:00:00,16.48,51.8,1003.02,1.2239988278972416,1.2396842062737174,3C
2025-01-01 23:00:00,16.38,54.0,1003.06,1.2239773772758105,1.239679840434765,3C
2025-01-02 00:00:00,15.24,61.8,1003.06,1.2237581604339285,1.2396511142499658,3C
2025-01-02 01:00:00,12.72,66.6,1002.78,1.2235351321230625,1.2396005128871193,3C
2025-01-02 02:00:00,11.08,71.8,1002.84,1.223531827524294,1.239556413835279,3C
2025-01-02 03:00:00,9.72,76.8,1003.16,1.2235142096737506,1.2395074216684356,3C
2025-01-02 04:00:00,8.92,78.4,1003.38,1.223502103920096,1.2394771583809407,3C
2025-01-02 05:00:00,8.72,76.6,1003.52,1.2234944030222699,1.2394656918625486,3C
2025-01-02 06:00:00,8.48,74.8,1003.64,1.2234878039626804,1.2394541390720673,3C
