time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,3.68,78.8,961.3,1.2259184333685582,1.2413566718548592,4C
2025-01-01 01:00:00,2.96,81.4,961.18,1.225925626572545,1.2413437265854872,4C
2025-01-01 02:00:00,2.56,84.0,960.74,1.2259520170274432,1.241355163706127,4C
2025-01-01 03:00:00,2.06,88.6,960.5,1.2259664220120283,1.2413539905192146,4C
2025-01-01 04:00:00,2.08,91.6,959.9200000000001,1.2260012637958768,1.2413834959631227,4C
2025-01-01 05:00:00,2.2,93.2,959.6200000000001,1.2260193019345653,1.241401659611964,4C
2025-01-01 06:00:00,2.16,95.4,959.4,1.2260325370725673,1.2414116146643746,4C
2025-01-01 07:00:00,2.22,95.4,959.4200000000001,1.2260313336273865,1.2414121943471574,4C
2025-01-01 08:00:00,2.48,94.4,959.0799999999999,1.2260517990215252,1.2414360694657633,4C
2025-01-01 09:00:00,2.6,94.6,959.26,1.2260409625939357,1.241430216323966,4C
2025-01-01 10:00:00,2.46,95.4,959.3399999999999,1.2260361477091781,1.2414225219228647,4C
2025-01-01 11:00:00,2.68,95.6,959.64,1.226018099041113,1.2414133015553928,4C
2025-01-01 12:00:00,2.74,95.6,959.3799999999999,1.226033740567924,1.2414278961901999,4C
2025-01-01 13:00:00,2.96,95.4,958.76,1.2260710738283904,1.2414647586255398,4C
2025-01-01 14:00:00,3.06,95.2,958.4799999999999,1.2260879498420238,1.2414814388219844,4C
2025-01-01 15:00:00,2.94,95.8,958.68,1.2260758945406638,1.2414682428202257,4C
2025-01-01 16:00:00,2.76,96.6,958.4200000000001,1.22609156741354,1.2414765376825063,4C
2025-01-01 17:00:00,3.14,96.4,958.3399999999999,1.2260963915468632,1.241490573803324,4C
2025-01-01 18:00:00,3.9,94.4,958.22,1.2261036292571899,1.2415166441172307,4C
2025-01-01 19:00:00,4.64,94.4,958.04,1.2261144892222977,1.2415452088233034,4C
2025-01-01 20:00:00,4.76,92.2,957.26,1.2261615962656485,1.2415876129339967,4C
2025-01-01 21:00:00,5.16,89.4,956.72,1.22619425383014,1.2416253828971597,4C
2025-01-01 22:00:00,5.459999999999999,88.8,956.2,1.2262257367170617,1.2416595425671586,4C
2025-01-01 23:00:00,5.42,90.4,956.22,1.2262245252036357,1.2416574757302516,4C
2025-01-02 00:00:00,5.52,92.8,956.22,1.2262245252036357,1.2416601190042729,4C
2025-01-02 01:00:00,5.32,94.2,956.24,1.2262233137408878,1.2416538230485594,4C
2025-01-02 02:00:00,5.12,94.8,956.36,1.226216046028465,1.2416424817149747,4C
2025-01-02 03:00:00,5.2,95.0,957.24,1.2261628051480178,1.241600237895483,4C
2025-01-02 04:00:00,5.4,95.8,958.18,1.2261060422301577,1.2415582210826428,4C
2025-01-02 05:00:00,5.62,94.8,958.6600000000001,1.226077099844447,1.2415399052281566,4C
2025-01-02 06:00:00,5.8,93.8,959.14,1.2260481864270727,1.2415205536152056,4C
2025-01-02 07:00:00,5.760000000000001,95.0,959.74,1.226012085325863,1.2414894123342093,4C
2025-01-02 08:00:00,5.54,95.4,959.96,1.2259988595625548,1.2414725972411411,4C
2025-01-02 09:00:00,5.74,94.0,960.0200000000001,1.2259952535882255,1.241474857953531,4C
2025-01-02 10:00:00,6.06,93.0,960.26,1.2259808341971559,1.2414712636423424,4C
