time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,4.42,36.8,853.7,1.233238362110728,1.2474238985534885,4B
2025-01-01 01:00:00,2.32,44.0,853.32,1.2332188970760842,1.2473857571150726,4B
2025-01-01 02:00:00,1.14,48.6,853.3799999999999,1.2332047045701044,1.2473470115726744,4B
2025-01-01 03:00:00,0.2,51.2,853.3399999999999,1.233218766361278,1.2473216983038613,4B
2025-01-01 04:00:00,-0.46,52.2,853.4200000000001,1.233258418004034,1.2472970959591414,4B
2025-01-01 05:00:00,-0.9,53.8,853.8399999999999,1.2332295284595172,1.2472575558427053,4B
2025-01-01 06:00:00,-1.02,55.4,854.2,1.2331696344037377,1.2472313040398004,4B
2025-01-01 07:00:00,-0.9399999999999998,55.8,854.68,1.233112169699034,1.2472034335748783,4B
2025-01-01 08:00:00,-1.36,57.2,854.54,1.233132522709871,1.2471998266516904,4B
2025-01-01 09:00:00,-1.62,58.0,854.8799999999999,1.2331151473104391,1.2471707395941665,4B
2025-01-01 10:00:00,-1.9,59.0,854.9,1.233119299896979,1.2471612031591555,4B
2025-01-01 11:00:00,-2.02,59.6,855.0600000000001,1.2331051582897596,1.2471475947936337,4B
2025-01-01 12:00:00,-2.12,60.4,854.86,1.23311078100876,1.2471572143347212,4B
2025-01-01 13:00:00,-2.88,63.4,855.32,1.2330885560563656,1.247105840679547,4B
2025-01-01 14:00:00,-2.54,62.8,855.8399999999999,1.2330238764107575,1.2470832465205945,4B
2025-01-01 15:00:00,-1.82,60.2,856.3399999999999,1.2329803640005252,1.2470731492039664,4B
2025-01-01 16:00:00,0.54,52.4,857.86,1.2328657637050673,1.2470475697833785,4B
2025-01-01 17:00:00,3.08,44.4,858.6,1.2328101183118712,1.2470760993086707,4B
2025-01-01 18:00:00,4.76,39.6,858.8,1.2327950954776816,1.2471130418467005,4B
2025-01-01 19:00:00,5.96,35.0,858.32,1.2328311620414856,1.2471784209851462,4B
2025-01-01 20:00:00,6.840000000000001,31.2,857.5200000000001,1.2329446736874499,1.2472545367183463,4B
2025-01-01 21:00:00,7.5,30.0,856.76,1.2329925587917554,1.2473217861028894,4B
2025-01-01 22:00:00,7.56,31.2,856.18,1.2329924508599612,1.2473600902068733,4B
2025-01-01 23:00:00,6.76,34.0,855.7,1.2330287385584862,1.2473667324595676,4B
2025-01-02 00:00:00,4.06,43.0,854.36,1.233130257517875,1.2473715089792146,4B
2025-01-02 01:00:00,3.9,43.8,854.26,1.2331378463303229,1.2473730937019365,4B
